"DATE","PBI","PELEC","CINTC","VOLINPUT","INDPRO","INGRESO","CREDMN","IGBVL"
"2004-01-01","3.6750","4.229031510658","6.8688899154733","-16.532480951533","1.1791","-1.0770560084976","13.51456340354","79.913009094504"
"2004-02-01","4.2460","7.3509768428937","6.468289479614","9.215095476638","1.6152","1.1738790972691","9.4533687649137","76.578573677481"
"2004-03-01","5.7743","5.436382159837","7.7804937895819","-2.8125541704023","1.5193","2.6015577847709","8.2269658153495","94.734748861377"
"2004-04-01","4.2480","6.1948997100763","2.2019653100379","7.5944704112684","2.4807","3.1933711837337","5.0033040365343","59.889401547021"
"2004-05-01","3.9508","6.1244459793933","2.7706586545861","19.005229311526","3.1807","0.97255487281038","4.7725731313719","61.851753541922"
"2004-06-01","3.0100","5.1916252661462","5.0943207572324","14.054068302928","2.3305","1.9056370096713","6.0548597082881","58.141905221165"
"2004-07-01","3.6610","4.2770457697642","-0.37467497885405","5.4839092279936","2.5618","1.9525650705432","6.5189635326978","52.712993941097"
"2004-08-01","4.4502","5.9327866032001","2.1148744488032","22.217433428355","2.8397","0.98513430406615","7.3435331019456","50.28732299322"
"2004-09-01","4.7852","7.0061845918247","3.4429831072054","20.575755437752","2.3038","2.5285959190117","9.0191925698818","65.526572194484"
"2004-10-01","2.6206","4.4296479323287","0.23922220073047","-2.3666036530795","3.064","3.268875690611","12.701237540634","68.092339202913"
"2004-11-01","9.4572","6.1941960626295","9.2075182201764","14.714549287592","2.6874","2.4442139255657","10.670602377967","68.127260387322"
"2004-12-01","9.7944","8.1692298719605","5.1879466562745","32.763154536012","3.3414","1.8890180357896","11.592288627483","52.374909652408"
"2005-01-01","5.3560","5.3991387732646","6.5384983848261","31.356364268844","3.5521","0.014388512755037","12.314939534039","42.196336996337"
"2005-02-01","8.1474","1.664363469332","9.8904241295488","17.995069004291","3.7108","-3.1218073699229","13.249722744608","48.402356528669"
"2005-03-01","3.5111","3.5740934589473","5.6792129310767","11.209495009621","3.9322","-2.3202679444948","15.448099237636","36.99715388771"
"2005-04-01","3.5424","5.2177765767774","17.997045987307","13.076403543895","3.7383","-1.0636087804446","16.942631864284","40.970881339869"
"2005-05-01","6.5089","6.2439492867603","16.259894583657","7.8390967915439","3.1652","3.435719945119","18.578347062399","34.115749804396"
"2005-06-01","6.2054","4.4674965421853","13.099789106477","7.2826856468118","4.2853","4.5024698243027","18.960056198947","39.924113794657"
"2005-07-01","6.2965","4.0638827095837","16.440395705849","9.394297255603","3.2779","4.4940857493047","20.328637245342","49.032189562725"
"2005-08-01","7.0630","4.9789157350513","14.507289587093","12.270081343353","3.534","4.8554877608996","23.379526505977","61.777540797283"
"2005-09-01","6.0531","4.9827410525903","12.705929793041","1.0689006243616","1.5697","2.245858858829","24.200532955703","54.655056728071"
"2005-10-01","6.4927","6.7085361966857","12.322559499655","7.7545196695317","1.8433","1.6066652167761","25.292613081345","34.382307065271"
"2005-11-01","9.3999","6.8544460609918","12.240179273912","26.177166375176","2.6357","1.2470679232627","29.895628648791","39.195182375191"
"2005-12-01","6.8834","5.757568325779","12.815599571764","-7.0386201559987","2.4675","2.7118550751598","35.540931306257","29.427095264918"
"2006-01-01","7.1017","7.665546536867","10.9203563133","5.6240046787101","2.2189","3.9058651794074","36.860980740575","45.120248534246"
"2006-02-01","5.6082","7.886101180297","9.9651136665845","8.0924159651365","1.5212","5.4704265647226","39.44287876393","49.099861215322"
"2006-03-01","12.0795","9.0092176445893","13.740381599535","21.534436587251","1.919","3.2178970123782","39.62588827557","42.359065607079"
"2006-04-01","5.4030","4.3761747413652","-0.81008302399411","5.5499478533007","2.0404","2.7720952162108","39.225507719212","79.187164004626"
"2006-05-01","6.0998","5.2280265185184","13.6482785654","11.042594883834","1.9377","2.820168162764","38.060602751395","83.720900609883"
"2006-06-01","7.4807","7.3788996780475","9.1408617922048","20.555603237792","1.856","3.1330876390339","39.292366644165","101.97272459368"
"2006-07-01","6.5138","9.2100088583872","7.0332859515163","17.497595164896","2.1048","2.3626262854111","38.821242416734","113.10976695806"
"2006-08-01","10.3209","7.950876669735","20.798184201074","2.5920462099212","2.1959","2.4397761481634","36.797332685625","117.09607611845"
"2006-09-01","8.1394","8.0778142113749","18.356520835903","12.70041750939","3.9043","5.3345131844186","36.631690591426","104.90412812104"
"2006-10-01","8.7019","8.3006897715972","17.998608109371","39.280966626537","2.6486","6.2978206034343","35.590940888292","124.47007461668"
"2006-11-01","4.7431","8.4582762899742","19.70184784787","11.269355047279","1.564","8.4862302642734","34.382695681831","128.08354686848"
"2006-12-01","8.5994","8.2986205893082","11.001742442133","27.791975201328","2.0418","9.2016461021952","30.810181906467","168.29507001926"
"2007-01-01","5.0124","9.4066856409564","12.73606057569","24.167390062673","1.5247","6.7296411557362","30.326890479029","142.01217358272"
"2007-02-01","4.7733","9.2932555232878","5.8761515035468","30.534606195756","2.4684","4.5252899603158","29.822982196843","149.16193583612"
"2007-03-01","6.0209","10.445027613874","12.246282773043","12.994772412162","2.4342","7.7939729742618","30.236390417971","189.71911156152"
"2007-04-01","5.2937","11.239415673558","14.460923972153","14.901154163816","2.8455","4.4657170315466","33.797527061939","189.44437288952"
"2007-05-01","7.1447","11.167792598575","19.641882240224","15.560927421289","2.9149","3.6158923913481","35.598446864112","179.12397544535"
"2007-06-01","6.5020","11.346478361208","21.105456773063","16.892338887789","2.6334","1.2511186295481","37.302908049375","174.23306113441"
"2007-07-01","10.3091","11.996367215436","25.099410030444","28.032570184857","2.5736","3.1411707052745","38.914637797289","160.96477591715"
