date,gdp,p_elec,c_cement,m_ind_inp,cred_mn,delta_empleo,delta_bvl,delta_indpro
2004-01-31,3.67496599637412,4.22903151065802,6.86888991547326,-16.5324809515333,13.5145634035397,0.5986011074291531,79.91300909450374,1.2792704913989983
2004-02-29,4.24595911891129,7.3509768428937,6.46828947961398,9.21509547663796,9.45336876491373,2.2835593976596957,76.57857367748073,1.7849009835950724
2004-03-31,5.77425697433643,5.43638215983699,7.7804937895819,-2.81255417040227,8.22696581534948,2.0431499380031193,94.73474886137659,1.6811428696922093
2004-04-30,4.24799534215177,6.19489971007633,2.20196531003788,7.5944704112684,5.00330403653432,2.6190778121996994,59.88940154702129,2.7458993295488066
2004-05-31,3.95075685370211,6.12444597939332,2.77065865458609,19.0052293115257,4.77257313137193,1.5493951140077789,61.85175354192243,3.5093517498123505
2004-06-30,3.00998259699102,5.1916252661462,5.09432075723237,14.0540683029279,6.05485970828809,2.4891380166859323,58.141905221165224,2.583510965350455
2004-07-31,3.66095616538795,4.27704576976422,-0.374674978854046,5.48390922799363,6.51896353269782,2.5235372647665733,52.712993941097295,2.7997592832967655
2004-08-31,4.45023506212127,5.93278660320009,2.11487444880324,22.217433428355,7.34353310194561,0.8572201968222615,50.28732299322023,3.1378652917270156
2004-09-30,4.78524711339773,7.00618459182472,3.44298310720542,20.5757554377525,9.01919256988184,2.386276246851482,65.52657219448415,2.57038907412408
2004-10-31,2.6205800566763,4.42964793232873,0.239222200730467,-2.36660365307953,12.7012375406343,3.1210530001095638,68.092339202913,3.3454748005395496
2004-11-30,9.45717190074313,6.19419606262951,9.20751822017645,14.7145492875915,10.670602377967,2.4442139255667295,68.12726038732231,2.899660758785072
2004-12-31,9.79438004053065,8.16922987196046,5.18794665627454,32.7631545360123,11.5922886274834,0.6999643105701114,52.374909652408164,3.6106064613476763
2005-01-31,5.35597311641661,5.39913877326456,6.53849838482613,31.3563642688439,12.3149395340395,-0.41727179098306477,42.196336996337,3.81119550855078
2005-02-28,8.14741281752654,1.66436346933199,9.89042412954878,17.9950690042908,13.2497227446076,-2.2041625992632596,48.4023565286688,3.936808839964412
2005-03-31,3.51107490542298,3.57409345894732,5.67921293107672,11.2094950096213,15.4480992376361,-0.30731507991510476,36.99715388771034,4.201619870410367
2005-04-30,3.54241464164074,5.21777657677736,17.9970459873073,13.0764035438945,16.9426318642838,0.2052673222254331,40.97088133986859,3.984679933875479
2005-05-31,6.50889811528315,6.24394928676031,16.2598945836575,7.83909679154388,18.5783470623991,2.8481646418626827,34.11574980439589,3.3615392665460764
2005-06-30,6.20539280505837,4.46749654218534,13.0997891064774,7.28268564681183,18.960056198947,3.9075063232152596,39.92411379465679,4.5837579347101975
2005-07-31,6.29649721858796,4.06388270958374,16.4403957058494,9.39429725560301,20.3286372453421,5.613825747916268,49.032189562724525,3.511556880662403
2005-08-31,7.06300307201129,4.97891573505129,14.5072895870929,12.2700813433532,23.3795265059774,5.699139431877809,61.77754079728348,3.763775964344185
2005-09-30,6.05312105189148,4.98274105259033,12.7059297930413,1.06890062436163,24.2005329557028,3.0844926186893495,54.65505672807123,1.6530590921981503
2005-10-31,6.49266528282108,6.70853619668566,12.3225594996552,7.75451966953168,25.292613081345,1.644979030598237,34.38230706527106,1.9820846182624363
2005-11-30,9.39989740117371,6.8544460609918,12.2401792739125,26.1771663751757,29.8956286487912,2.1227521642630753,39.1951823751908,2.8629686523119258
2005-12-31,6.8833669870526,5.75756832577903,12.8155995717636,-7.03862015599872,35.5409313062566,3.4861056560360426,29.427095264918247,2.5507380411595504
2006-01-31,7.10170164430077,7.66554653686702,10.9203563133001,5.62400467871013,36.8609807405755,3.0593684872997295,45.12024853424559,2.372496182052264
2006-02-28,5.60815182888311,7.88610118029696,9.96511366658451,8.09241596513654,39.4428787639298,3.233202568656579,49.099861215322214,1.6679309563307765
2006-03-31,12.0795001803328,9.00921764458932,13.7403815995348,21.5344365872513,39.6258882755703,1.1337645443487698,42.359065607078875,2.055638522676273
2006-04-30,5.40297358027564,4.37617474136524,-0.810083023994114,5.54994785330069,39.2255077192118,2.5223342119236047,79.18716400462587,2.1675429169567106
2006-05-31,6.09980733591271,5.22802651851838,13.6482785653996,11.0425948838344,38.0606027513948,3.879013036303114,83.72090060988346,2.0620399307797577
2006-06-30,7.48071786155007,7.37889967804749,9.14086179220475,20.5556032377915,39.2923666441655,4.186363033099405,101.97272459367963,1.9723222553760689
2006-07-31,6.51377282433505,9.21000885838717,7.03328595151628,17.4975951648959,38.8212424167336,1.0413781301533032,113.10976695805817,2.2060288075824053
2006-08-31,10.3209217546199,7.95087666973499,20.7981842010744,2.59204620992124,36.7973326856248,1.109268510011674,117.09607611844501,2.2998838743786054
2006-09-30,8.1394039741372,8.07781421137487,18.3565208359026,12.7004175093897,36.6316905914262,3.94954152129936,104.9041281210374,4.098848093738305
2006-10-31,8.70194068649587,8.30068977159722,17.9986081093709,39.2809666265367,35.5909408882921,5.381576982618519,124.47007461668433,2.749587815718657
2006-11-30,4.74313280864557,8.45827628997417,19.7018478478702,11.2693550472794,34.3826956818315,7.55598034253957,128.0835468684822,1.5710616350602447
2006-12-31,8.59943457160934,8.29862058930817,11.0017424421331,27.7919752013282,30.8101819064667,8.312624081014718,168.2950700192618,2.1316599709045425
2007-01-31,5.01233655233024,9.40668564095644,12.73606057569,24.1673900626726,30.3268904790287,6.272571668840343,142.01217358272197,1.545959244188655
2007-02-28,4.77330813006772,9.2932555232878,5.87615150354677,30.5346061957562,29.8229821968434,4.0790178166335345,149.16193583612358,2.495409220646505
